dataset,DecisionTree,SVM,KNN,LogisticRegression,Perceptron,MLP,time_seconds
fl2000,0.7901098901098902,0.6857142857142856,0.7615384615384616,0.7890109890109891,0.8219780219780219,0.8813186813186812,1.29
anneal,0.992203600248293,0.9610428305400373,0.9387523277467411,0.9610490378646803,0.9376225946617007,0.9777405338299193,3.74
car,0.9762720951662898,0.9039306358381503,0.9415565049845019,0.6892167211192092,0.6510614057133284,0.9878411661221411,99.68
analcatdata_broadway,0.6526315789473685,0.7263157894736841,0.7473684210526315,0.7052631578947368,0.6421052631578947,0.6842105263157895,1.37
prnn_fglass,0.7335548172757476,0.6869324473975637,0.6678848283499447,0.663233665559247,0.5378737541528239,0.7008859357696566,1.91
analcatdata_bondrate,0.43787878787878787,0.5969696969696969,0.5803030303030303,0.5424242424242425,0.4075757575757576,0.543939393939394,0.84
audiology,0.7566183574879227,0.6993236714975846,0.5531400966183575,0.8007729468599033,0.787536231884058,0.7831884057971014,1.94
primary-tumor,0.38336259877085166,0.47484635645302903,0.4394644424934152,0.4276997366110623,0.39218612818261633,0.40996488147497806,3.97
glass,0.6544850498338871,0.6827242524916943,0.640531561461794,0.6034330011074197,0.5049833887043189,0.7434108527131784,1.96
lymph,0.7225287356321839,0.7970114942528737,0.7905747126436781,0.8310344827586207,0.783448275862069,0.8108045977011494,0.91
white-clover,0.6051282051282052,0.7012820512820513,0.6538461538461539,0.6346153846153846,0.573076923076923,0.6346153846153847,0.57
ecoli,0.7887620719929764,0.8721685689201053,0.8662423178226513,0.8721685689201053,0.8215539947322211,0.8453467954345918,3.29
flags,0.629284750337382,0.5518218623481781,0.5052631578947369,0.4587044534412955,0.40728744939271255,0.4798920377867747,1.33
soybean,0.9195684843280377,0.8931623014169171,0.8682481751824817,0.909274366680979,0.8814083297552597,0.9048733361957921,5.83
pc4,0.8683001459304241,0.9053570587958386,0.890272089629525,0.9122087275808501,0.8683142682295344,0.9163395000706116,12.44
pc3,0.8515400999426559,0.8982735315802408,0.8873863357090194,0.898269435569755,0.8604857868436143,0.8829114442532973,14.56
mc2,0.6768939393939395,0.7142045454545455,0.6708333333333333,0.7018939393939394,0.6388257575757577,0.7263257575757576,1.2
cm1_req,0.7411764705882353,0.7751633986928105,0.7522875816993464,0.7862745098039217,0.7529411764705882,0.7522875816993465,0.68
ar4,0.8142857142857143,0.8601731601731603,0.8692640692640694,0.8510822510822509,0.7848484848484848,0.8497835497835498,1.1
kc2,0.8180586080586082,0.8276007326007326,0.8352380952380953,0.8352930402930403,0.8065201465201465,0.8276190476190475,1.55
ar6,0.7919047619047619,0.8614285714285714,0.880952380952381,0.8719047619047618,0.7733333333333332,0.8423809523809525,1.04
kc3,0.89089823220258,0.9061395126612517,0.9104395604395604,0.9192307692307692,0.8843287147634975,0.9017677974199714,3.84
kc1-binary,0.6758620689655171,0.7724137931034483,0.7379310344827585,0.7655172413793103,0.7586206896551724,0.7586206896551724,1.13
pc1,0.9080143491908197,0.9323712853124618,0.9260527495821614,0.929656353185765,0.890893155599038,0.9242550242550243,8.7
mw1,0.8859876543209877,0.9230864197530864,0.9156172839506173,0.937962962962963,0.8882716049382717,0.9081790123456791,3.87
datatrieve,0.8538461538461538,0.9153846153846154,0.9153846153846154,0.9076923076923077,0.8692307692307694,0.8923076923076924,1.36
PopularKids,0.47065789473684205,0.535548245614035,0.5417324561403509,0.535548245614035,0.4436622807017544,0.4957456140350877,3.87
teachingAssistant,0.9137634408602151,0.4703225806451613,0.4501075268817204,0.4630107526881721,0.4961290322580645,0.4572043010752688,1.65
badges2,1.0,0.9932203389830508,0.986323787258913,1.0,1.0,1.0,0.77
pc1_req,0.675,0.69375,0.525,0.68125,0.584375,0.66875,1.84
lungcancer_GSE31210,0.7697584541062803,0.8761352657004832,0.884927536231884,0.853913043478261,0.8181642512077294,0.8717874396135266,1.09
KungChi3,0.8213333333333332,0.8699999999999999,0.8696666666666667,0.8779999999999999,0.8619999999999999,0.8373333333333333,0.76
MegaWatt1,0.8341176470588236,0.8974117647058824,0.8854901960784314,0.8894901960784314,0.8381176470588235,0.8894901960784314,0.63
PizzaCutter1,0.88049669628617,0.9258714969241284,0.9198108908635223,0.9213146502620188,0.8986443381180222,0.9318751424014582,4.3
PizzaCutter3,0.8360093853514906,0.8782342657342657,0.862881854987118,0.8734311740890689,0.8341277143908723,0.8666912035333088,10.78
CastMetal1,0.8043822843822845,0.8716083916083915,0.8411188811188811,0.8534731934731935,0.8072727272727273,0.8412587412587411,3.37
KnuggetChase3,0.7736842105263158,0.8041835357624831,0.7989203778677462,0.799055330634278,0.7939271255060729,0.80944669365722,1.54
MeanWhile1,0.8341176470588236,0.8974117647058824,0.8854901960784314,0.8894901960784314,0.8381176470588235,0.8894901960784314,0.63
MindCave2,0.64,0.712,0.696,0.68,0.6880000000000001,0.8,0.95
PieChart1,0.8822695035460992,0.9120567375886525,0.902127659574468,0.9078014184397164,0.8595744680851063,0.9134751773049645,4.76
